"YMTGDP","ITMCDP","CLRCDP","ACT","FREE","KEEPS","LOWLIMIT","CONSUME","DELIVERY","PRODUCTION","PURCHES"
201207,1553859,580,0,0,0,0,0,0,0,0
201207,1569060,30,0,0,0,0,0,0,0,0
201207,1569060,580,0,0,0,0,0,0,0,0
201207,1641071,580,401,401,0,0,0,0,0,0
201207,1892857,580,0,0,0,0,0,0,0,0
201208,2842,30,0,0,0,0,0,0,0,0
201208,2842,580,3619.4,398.6,0,0,4012.2,0,7048,0
201208,8110,30,12371.2,9207.4,1256,0,26108.4,0,27840,0
201208,8110,580,557309.6,362861.8,0.3,0,428492.5,0,347780,0
201208,9007,30,1000,0,0,0,0,9600,10600,0
201208,9007,580,128390,93590,0,0,0,65600,0,120000
201208,12222,30,1791.4,1791.4,0,0,0,0,0,0
201208,12222,580,136.7,136.7,0,0,0,0,0,0
201208,13976,30,0,0,0,0,0,0,0,0
201208,13976,580,50.8,50.8,0,0,1971.8,0,1185.1,0
201208,21192,580,166.5,166.5,0,0,0,0,0,0
201208,42875,580,0,0,0,0,0,200,0,200
201208,236228,30,0,0,0,0,0,0,0,0
201208,236228,580,-0.6,-0.6,0,0,0,0,0,0
201208,267001,30,1298,0,0,0,0,0,0,0
201208,267001,580,1720.8,-24.1,0,0,33773.8,0,28430,0
201208,345189,580,3600,0,2600,0,0,5400,1200,6000
201208,403025,30,0,0,0,0,0,0,0,0
201208,403025,580,0,0,0,0,0,0,0,0
201208,410123,580,0,0,0,0,0,0,0,0
201208,1043617,30,0,0,0,0,0,260,0,0
201208,1043617,580,1826,0,0,0,0,554,2709,0
201208,1052456,580,1827.4,1827.4,0,0,0,0,0,0
201208,1052730,30,2003.5,2003.5,0,0,0,0,0,0
201208,1052730,580,2882.5,2882.5,0,0,0,0,0,0
201208,1094947,580,87406.1,83591.9,0,0,11412.9,0,0,0
201208,1097782,580,0,0,0,0,0,1200,0,0
201208,1110902,30,0,0,0,0,0,0,0,0
201208,1110902,580,0,0,0,0,0,0,0,0
201208,1117808,580,0,0,0,0,0,643,643,0
201208,1186333,580,200,200,0,0,0,0,0,0
201208,1238326,580,268.7,268.7,0,0,1.4,0,0,0
201208,1239635,580,0,0,0,0,0,0,0,0
201208,1246424,580,0,0,0,0,0,0,0,0
201208,1247603,30,0,0,0,0,0,617,0,0
201208,1247603,580,0,0,0,0,0,6529,0,0
201208,1306061,580,0,0,0,0,0,0,0,0
201208,1323375,580,0,0,0,0,0,0,0,0
201208,1323394,580,0,0,0,0,0,0,0,0
201208,1351711,580,0,0,0,0,0,0,0,0
201208,1371593,30,0,0,0,0,0,0,0,0
201208,1371593,580,0,0,0,0,0,0,0,0
201208,1398500,580,37.7,37.7,0,0,0,0,0,0
201208,1401220,580,0,0,0,0,0,0,0,0
201208,1419109,580,4929,4926.9,0,0,7969.7,0,0,0
201208,1420200,580,400,0,0,0,0,7200,7600,0
201208,1440762,580,0,0,0,0,0,0,0,0
201208,1553859,30,0,0,0,0,0,0,0,0
201208,1553859,580,0,0,0,0,28650,0,28650,0
201208,1569060,30,0,0,0,0,0,0,0,0
201208,1569060,580,0,0,0,0,0,0,0,0
201208,1641071,580,0,0,0,0,0,0,0,0
201208,1892857,580,0,0,0,0,0,0,0,0
201209,2842,30,0,0,0,0,0,0,0,0
201209,2842,580,3711.8,3325.5,0,0,3670.4,0,3898.5,0
201209,8110,30,3743.1,619.1,1300,0,6518,0,0,0
201209,8110,580,422940.2,0,302992.3,0,368381.9,0,305940,0
201209,9007,30,0,0,0,0,0,6000,5000,0
201209,9007,580,71590,53790,0,0,0,56800,0,0
201209,12222,30,1773.8,1773.8,0,0,0,0,0,0
201209,12222,580,126.2,0,0,0,0,0,0,0
201209,13976,30,0,0,0,0,0,0,0,0
201209,13976,580,51.1,51.1,0,0,0,0,0,0
201209,21192,580,167.5,167.5,0,0,0,0,0,0
201209,42875,580,200,0,0,0,0,200,200,400
201209,236228,580,40.9,40.9,0,0,576.4,0,612.4,0
201209,267001,30,449.7,449.7,0,0,1936.3,0,1680.4,0
201209,267001,580,101628.9,90685.1,0,0,52281,0,125100,0
201209,345189,580,6600,3000,3600,0,0,1000,0,20000
201209,403025,30,0,0,0,0,0,0,0,0
201209,403025,580,1400,0,0,0,0,0,1400,0
201209,410123,580,0,0,0,0,0,0,0,0
201209,1043617,30,0,0,0,0,0,0,0,0
201209,1043617,580,2420,0,0,0,0,1912,2517,0
201209,1052456,580,1820.7,1820.7,0,0,0,0,0,0
201209,1052730,30,1992.3,1992.3,0,0,0,0,0,0
201209,1052730,580,2875.4,2875.4,0,0,0,0,0,0
201209,1094947,580,77928.1,79348.7,0,0,14935.7,0,0,0
201209,1097782,580,1600,0,0,0,0,0,1600,0
201209,1110902,30,0,0,0,0,0,0,0,0
201209,1110902,580,0,0,0,0,0,0,0,0
201209,1117808,580,0,0,0,0,0,0,0,0
201209,1186333,580,200,200,0,0,0,0,0,0
201209,1238326,580,266.9,266.9,0,0,0,0,0,0
201209,1239635,580,0,0,0,0,0,0,0,0
201209,1246424,580,0,0,0,0,0,4,4,0
201209,1247603,30,344,0,0,0,0,1573,1917,0
201209,1247603,580,3883,0,0,0,0,6401,10284,0
201209,1306061,580,0,0,0,0,0,0,0,0
201209,1323375,580,0,0,0,0,0,0,0,0
